id	humorbot
2718436417	human
792615528791703553	human
3287012484	human
93816184	human
754884880996020225	bot
3027809025	bot
4462881555	bot
2922438383	human
804681	human
3078493577	bot
2580041	human
50881405	human
318547968	bot
724050768106500096	bot
98473573	human
5501422	human
833231546362507265	bot
827514835764117504	human
759606437538660352	human
3391821934	human
802634585884467202	human
3536579297	human
2753400223	human
68956490	bot
2566358196	bot
2925320782	bot
155477615	human
816490225098592256	human
15431761	human
885540469	human
2442980549	bot
40914533	human
3730020912	bot
2428936177	bot
16905397	human
2397575574	human
14506594	bot
4691045113	human
803089839541391360	bot
831805023290011648	human
2393440218	human
29757641	human
828008214901895168	human
1688780562	bot
844852862379180032	bot
91145627	bot
141992963	bot
3105509838	human
755808822506041344	human
712749669260984320	bot
440519278	human
755808822506041344	bot
150436959	human
1124167796	human
385144056	human
1444989344	human
840202676407271424	human
724211954651389954	bot
65495011	human
26087034	human
723578732917719040	bot
1141753736	bot
821562262976602114	bot
837344043021570049	bot
770023328442621952	bot
2169696944	bot
2168606552	human
367299572	human
791003590576005120	human
24891334	human
2499615932	human
3887467873	bot
282275320	human
796895609491861504	human
59790649	human
1358892625	human
1548959833	human
815277357871165400	human
425941314	human
285736802	human
863313000714956800	human
4701480262	human
923012622643056600	bot
2622731	human
245029990	human
24950207	human
439275135	human
14157134	human
244328801	human
836648494161088512	human
914827333424615424	human
4570382841	human
15184649	human
120499199	human
306201973	human
838908851973984256	human
698249714391785474	human
919122482	human
526833016	human
1544499204	bot
527823754	human
1590060588	bot
775449094739197953	human
917891221397426176	bot
157466475	human
9537192	human
3088050110	bot
796216118331310080	human
65810061	human
114924435	human
246534469	human
3389810596	human
720338157733068800	human
4188418157	human
280961704	human
26401102	human
214414277	human
923599748912775168	bot
7904622	human
15598083	human
700980756	human
45421555	human
854280715520933888	bot
17168396	human
1908788376	human
24493007	human
3636269957	human
304679484	human
1729682004	human
744900825026277376	human
865656211831652352	human
2565606889	human
830900965276581888	human
806147056398172160	human
783134569490821120	human
759585380265975808	human
4895255141	human
2204178709	human
776455327017537538	human
754406096815607808	human
743337278068531202	human
815836615901937664	bot
3044748841	human
930003665120788480	bot
1663020151	human
84658054	human
29705399	human
309904105	human
785460924014624768	human
760972736554348544	human
6262932	human
899270715299557376	bot
911724266294521856	bot
986789138	human
344312833	human
3293448798	human
4693624616	human
4705413594	human
17664908	human
867767690915663872	human
272442200	bot
1702681206	human
4170204321	human
4883333355	bot
301128467	human
97699126	human
882988939803586562	human
1790831	human
127825830	bot
921141137083006976	human
14353226	human
292549803	human
171968009	human
519072324	human
14494946	human
17529875	human
745040102934491138	human
264554098	human
3056692378	human
2502466327	human
190550202	bot
433335138	bot
586976360	human
336951091	human
2717053344	human
706577077898756096	bot
922073433885863936	bot
752656477387620352	human
3289199946	human
35543679	human
4655149233	bot
706504038783852545	bot
832713845323948032	bot
2677824331	human
860952992597643264	human
219081873	human
845306379061678081	bot
861304999531479041	human
120650877	human
2904930971	human
751240947250323456	human
24603089	human
49423492	human
849816664036315138	bot
843595546073976833	bot
863161360129159168	bot
858506685136084992	bot
873060960721707009	bot
876157973000724480	bot
875102174824542208	bot
2918161040	bot
829740747951898624	bot
847545582	bot
855109542639751169	bot
4780784385	bot
824773862512533504	bot
810123569925619712	bot
805094082863394817	bot
797617218511060992	bot
845316320900108288	bot
730490705882288128	bot
894939050255290368	bot
4649484752	bot
2458410882	bot
798677572875878400	bot
2329754462	bot
1065869268	bot
4842646876	bot
36715753	bot
3022045469	bot
796834612416811009	bot
196134547	bot
788571666	bot
759354603750191104	bot
789969215650422784	bot
735633664696946689	bot
297051227	human
325102148	human
84380403	human
23636611	human
16116764	human
28975085	human
2582179882	human
14383393	bot
93984082	human
2244116437	human
715604389289926656	human
829824916669206533	human
839198217904476160	human
1476400334	bot
852462777298038785	bot
862570662216384512	human
425924492	human
14700874	human
2967046727	human
164839933	human
6092972	human
821915120163049474	bot
704517061	human
162688725	human
260900239	human
373564351	human
4140197134	human
511326073	human
112532110	human
1008344696	human
903921021870329856	bot
795301383754940417	human
114378773	human
8161232	human
27739071	human
179106488	human
353990109	human
359600011	human
3437940707	human
64687481	bot
49264236	bot
892071119666245638	bot
4372811421	human
28123561	human
96435556	bot
329871219	bot
618357053	bot
836345463490109440	human
705759403358588928	bot
872434292558843908	human
775254518791565312	bot
66099035	human
33993935	human
3248003890	bot
58583837	human
823219869684498432	human
3223426134	human
121489431	human
819989731538771968	human
741336820210925568	human
26271987	human
4025531193	human
51892878	human
857001662	human
283107199	human
840723068	human
386162651	human
821835785498402816	human
932489752044961792	bot
96070717	human
69002392	human
3951991698	human
145741832	human
388281124	human
80147772	human
838505876390563842	human
17308959	human
4822536123	human
1069984033	human
1912617043	bot
277229509	human
2771019938	human
781539380548763648	human
25610240	human
752329855803371520	human
2575929534	human
954961852177424384	bot
811232994979676162	human
826860708360966144	human
19765236	human
925815219779186689	bot
747069301492850689	human
267342991	human
930070230428192769	human
95546707	human
823558302290341888	human
2428920877	human
785486180	human
2916715250	human
4469821522	bot
761535628567801856	bot
272246415	human
225591458	bot
599269165	human
878706205	human
798772200	bot
7982372	human
3534950715	human
2339625259	human
96766049	human
929311181390647296	bot
944864788336824321	bot
602249341	human
3386393451	human
292570983	human
22679240	bot
1670933924	human
321774180	human
1157143663	human
26310963	human
1689033865	human
2400761	human
47199132	human
18705682	human
22083949	human
889925474	human
120330430	human
17345347	human
185666171	human
716802097	bot
2183631535	human
949351121553952768	human
940452237662400512	bot
24188758	bot
942834877682126848	human
360138110	human
1561077758	human
196168350	human
17995040	human
977112482	bot
17980523	human
16330790	human
18738783	human
750102952530972673	human
7324992	human
736495799648067585	bot
936863299622326272	human
877106721432289280	human
960769485308289024	human
3297022953	human
724484311	human
19497205	human
3098563845	bot
777835834510708737	human
2847813604	bot
860607124912648193	human
3248881547	human
225057152	human
921229416025374721	human
864516210	human
4458723554	human
4187909913	human
86391789	bot
37861434	bot
957064735207325699	human
948640112929370113	bot
954896365284483073	human
846137120209190912	human
2642821897	bot
18643437	human
133938408	bot
132339474	bot
78523300	human
875842091338878976	human
344873780	human
252728532	human
783765904643334145	human
415566147	human
492306486	human
43736337	human
517014401	human
44357820	human
964082004852596741	bot
794724895150075908	human
708173658062061568	human
2321272902	bot
782274066023669760	human
772050541	bot
3974372472	human
1403949241	human
942627865841033216	human
21001379	human
252747499	human
564261430	human
2291670331	human
848060689952292864	bot
3328298343	human
119153453	bot
1705190059	human
963939984288952320	human
947163260092125190	human
863022092484136960	human
2530039118	human
388122292	bot
2927001048	human
797892231323615233	human
59095319	human
2805537876	human
3513131837	human
34301245	human
523248016	human
114552075	human
704710567856963584	human
4669895593	human
2816101664	human
107442007	human
348251231	human
629042580	human
2245289393	bot
2953251746	human
932973055822979072	human
536537823	human
825019113948983296	human
4805329740	human
966676259060187137	human
115252451	human
827177103317626880	human
3325479823	bot
938598744747941888	human
2705002822	human
60019512	human
18812487	bot
896732008805695488	human
960643204059189248	bot
915596429405687808	bot
480919453	bot
958542161103982592	bot
3397727969	human
840030213186682880	human
25073877	human
16082694	human
14519059	human
795027859270156288	human
10136872	human
242259125	human
2901855011	bot
370185974	human
826095397521195009	human
15607540	human
712779270867836929	human
888750286751358976	human
3837213803	human
3298685864	human
311414095	human
972111147838201866	human
761353917938622464	human
30018452	human
773889981953798144	human
2806413827	human
43186378	human
548635764	human
887478916344147969	human
